Index,Time,sensor0_raw_v,sensor0_filtered_v,sensor0_delta_v,sensor0_threshold_v,sensor0_hit_count
91716,91.716413,0.98073256,0.783579469,-0.175889313,0.0547888651,0
91717,91.717514,0.407765567,0.784723818,-0.174744964,0.0547888651,0
91718,91.718419,1.02505493,0.785994947,-0.173473835,0.0547888651,0
91719,91.719417,0.839706957,0.787581921,-0.171886861,0.0547888651,0
91720,91.720419,0.839706957,0.789205074,-0.170263708,0.0547888651,0
91721,91.721417,0.545567751,0.790755391,-0.168713391,0.0547888651,0
91722,91.722419,0.758315027,0.792251647,-0.167217135,0.0547888651,0
91723,91.723417,1.39655674,0.793831706,-0.165637076,0.0547888651,0
91724,91.724418,0.405347973,0.795127034,-0.164341748,0.0547888651,0
91725,91.725623,1.08388281,0.796270907,-0.163197875,0.0547888651,0
91726,91.726419,0.826813161,0.79714942,-0.162319362,0.0547888651,0
91727,91.727417,0.549597085,0.797886968,-0.161581814,0.0547888651,0
91728,91.728433,0.549597085,0.798267961,-0.161200821,0.0547888651,0
91729,91.729416,0.457728922,0.798450291,-0.161018491,0.0547888651,0
91730,91.730418,0.406153828,0.798401773,-0.161067009,0.0547888651,0
91731,91.731416,1.11531138,0.798187077,-0.161281705,0.0547888651,0
91732,91.732417,1.70600724,0.798056304,-0.161412477,0.0547888651,0
91733,91.733415,1.09838831,0.797804534,-0.161664248,0.0547888651,0
91734,91.734417,0.892087877,0.797625124,-0.161843657,0.0547888651,0
91735,91.735415,0.892087877,0.797134459,-0.162334323,0.0547888651,0
91736,91.736420,0.406153828,0.796450078,-0.163018703,0.0547888651,0
91737,91.737417,0.406959713,0.795639455,-0.162110567,0.0547888651,0
91738,91.738420,0.412600726,0.794878244,-0.162871778,0.0547888651,0
91739,91.739418,0.674505472,0.794173181,-0.163576841,0.0547888651,0
91740,91.740428,1.25311351,0.793347895,-0.164402127,0.0547888651,0
91741,91.741418,1.1314286,0.792476177,-0.165273845,0.0547888651,0
91742,91.742412,1.55450547,0.791502297,-0.166247725,0.0547888651,0
91743,91.743418,1.55450547,0.790566921,-0.167183101,0.0547888651,0
91744,91.744419,0.762344301,0.789797485,-0.167952538,0.0547888651,0
91745,91.745417,0.741391957,0.789014101,-0.168735921,0.0547888651,0
91746,91.746415,0.664835155,0.788219035,-0.169530988,0.0547888651,0
91747,91.747413,0.419853479,0.787461996,-0.170288026,0.0547888651,0
91748,91.748415,0.406153828,0.786565006,-0.171185017,0.0547888651,0
91749,91.749414,1.041978,0.786013842,-0.171736181,0.0547888651,0
91750,91.750416,1.041978,0.786013842,-0.172069371,0.0547888651,0
91751,91.751429,0.738168478,0.785349667,-0.172400355,0.0547888651,0
91752,91.752415,0.967838824,0.784871399,-0.172878623,0.0547888651,0
91753,91.753414,0.413406581,0.784521163,-0.17322886,0.0547888651,0
91754,91.754417,0.820366263,0.784334481,-0.173415542,0.0547888651,0
91755,91.755416,0.412600726,0.784336746,-0.173413277,0.0547888651,0
91756,91.756413,0.410989016,0.784391999,-0.173358023,0.0547888651,0
91757,91.757420,0.460952371,0.784415901,-0.173334122,0.0547888651,0
91758,91.758414,0.460952371,0.784332275,-0.173417747,0.0547888651,0
91759,91.759413,0.420659333,0.784197152,-0.173552871,0.0547888651,0
91760,91.760415,0.505274713,0.783997178,-0.173752844,0.0547888651,0
91761,91.761414,0.406153828,0.78402549,-0.173724532,0.0547888651,0
91762,91.762490,1.45699632,0.784114063,-0.17363596,0.0547888651,0
91763,91.763420,0.571355283,0.784239233,-0.17351079,0.0547888651,0
91764,91.764419,0.404542118,0.784158945,-0.173591077,0.0547888651,0
91765,91.765413,0.404542118,0.784158945,-0.173591077,0.0547888651,0
91766,91.766415,0.405347973,0.783663452,-0.174086571,0.0547888651,0
91767,91.767417,1.3006593,0.783578336,-0.174171686,0.0547888651,0
91768,91.768416,0.923516452,0.783599198,-0.174150825,0.0547888651,0
91769,91.769418,0.707545757,0.783283353,-0.17274797,0.0547888651,0
91770,91.770417,0.800219774,0.782978475,-0.173052847,0.0547888651,0
91771,91.771419,0.479487181,0.782853365,-0.173177958,0.0547888651,0
91772,91.772418,1.11611724,0.782941937,-0.173089385,0.0547888651,0
91773,91.773486,1.11611724,0.782941937,-0.172802806,0.0547888651,0
91774,91.774413,0.588278353,0.783311427,-0.172719896,0.0547888651,0
91775,91.775420,0.743003666,0.783310354,-0.172720969,0.0547888651,0
91776,91.776417,1.2789011,0.783539653,-0.17249167,0.0547888651,0
91777,91.777427,0.539120853,0.783745646,-0.172285676,0.0547888651,0
91778,91.778417,0.506080568,0.784071565,-0.171959758,0.0547888651,0
91779,91.779418,1.3063004,0.784157872,-0.17187345,0.0547888651,0
91780,91.780416,1.3063004,0.784157872,-0.17187345,0.0547888651,0
91781,91.781417,1.0548718,0.784485221,-0.171546102,0.0547888651,0
91782,91.782415,1.38446879,0.784438789,-0.171592534,0.0547888651,0
91783,91.783417,0.629377306,0.784386516,-0.171644807,0.0547888651,0
91784,91.784432,0.659999967,0.784332514,-0.171698809,0.0547888651,0
91785,91.785414,0.415824175,0.784637451,-0.171393871,0.0547888651,0
91786,91.786420,1.22007322,0.784949839,-0.171081483,0.0547888651,0
91787,91.787418,1.07340658,0.78512615,-0.170905173,0.0547888651,0
91788,91.788419,1.07340658,0.78512615,-0.170905173,0.0547888651,0
